
,,,,,,Totals,Totals,Totals,Per 36 Minutes,Per 36 Minutes,Per 36 Minutes,Per 36 Minutes,Per 36 Minutes,Per 36 Minutes,Per 36 Minutes,Per 36 Minutes,Per 36 Minutes,Per 36 Minutes,Per 36 Minutes,Per 36 Minutes,Per 36 Minutes,Per 36 Minutes,Per 36 Minutes,Per 36 Minutes,Per 36 Minutes,Shooting,Shooting,Shooting,Shooting,Shooting,Shooting
Rk,Player,Season,Age,Tm,Lg,G,GS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,eFG%,FT%,TS%
2259,Tree Rollins,1986-87,31,ATL,NBA,75,58,1764,3.5,6.4,3.5,6.4,0.0,0.0,1.3,1.8,3.2,6.8,10.0,0.4,0.9,2.9,1.2,4.9,8.3,.546,.546,,.546,.724,.576
2260,Tree Rollins,1987-88,32,ATL,NBA,76,59,1765,2.7,5.3,2.7,5.3,0.0,0.0,1.4,1.6,2.9,6.5,9.4,0.4,0.6,2.7,1.0,4.7,6.9,.512,.512,,.512,.875,.569
Rk,Player,Season,Age,Tm,Lg,G,GS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,eFG%,FT%,TS%
2261,Phil Rollins,1959-60,26,CIN,NBA,72,,1235,4.6,11.3,4.6,11.3,,,2.2,3.7,,,5.2,6.8,,,,4.4,11.5,.409,.409,,.409,.606,.445
2262,Phil Rollins,1960-61,27,TOT,NBA,61,,816,4.8,12.9,4.8,12.9,,,2.6,3.9,,,4.3,5.4,,,,5.3,12.2,.372,.372,,.372,.659,.416
2263,Al Roges,1953-54,23,BLB,NBA,67,,1937,4.1,11.4,4.1,11.4,,,2.4,3.3,,,4.0,3.0,,,,3.3,10.6,.358,.358,,.358,.726,.411
2264,Roy Rogers,1996-97,23,VAN,NBA,82,50,1848,4.8,9.4,4.7,9.4,0.0,0.0,1.1,1.8,2.7,4.8,7.5,0.9,0.4,3.2,1.7,4.2,10.6,.505,.504,1.000,.506,.574,.518
2265,Rodney Rogers,1993-94,22,DEN,NBA,79,14,1406,6.1,14.0,5.2,11.6,0.9,2.4,3.3,4.8,2.3,3.5,5.8,2.6,1.6,1.2,3.4,5.0,16.4,.439,.450,.380,.471,.672,.509
2266,Rodney Rogers,1994-95,23,DEN,NBA,80,77,2142,6.3,12.9,5.5,10.4,0.8,2.5,3.0,4.6,2.2,4.3,6.5,2.7,1.6,0.8,2.9,4.7,16.5,.488,.523,.338,.520,.651,.550
2267,Rodney Rogers,1996-97,25,LAC,NBA,81,62,2480,5.9,12.8,5.0,10.2,0.9,2.6,2.8,4.2,2.0,4.0,6.0,3.2,1.3,0.9,3.2,3.9,15.6,.462,.487,.361,.498,.663,.530
