
,,,,,,Totals,Totals,Totals,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced
Rk,Player,Season,Age,Tm,Lg,G,GS,MP,PER,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
3368,Derrick Rowland,1985-86,26,MIL,NBA,2,0,9,7.0,.000,.667,0.0,12.3,6.2,13.9,0.0,0.0,0.0,17.3,99,108,0.0,0.0,0.0,.048,-4.8,-2.8,-7.6,0.0
3369,Jim Rowinski,1988-89,28,TOT,NBA,9,0,15,17.9,.000,1.500,7.4,29.4,18.7,0.0,0.0,0.0,0.0,18.7,130,107,0.0,0.0,0.1,.205,-4.6,-7.4,-12.0,0.0
3370,Jim Rowinski,1989-90,29,MIA,NBA,14,0,112,13.2,.000,.813,16.1,12.3,14.3,6.1,0.4,1.1,18.7,19.2,112,112,0.2,0.1,0.2,.101,-1.4,-2.1,-3.6,0.0
3371,Ron Rowan,1986-87,24,POR,NBA,7,0,16,22.2,.111,.444,7.2,0.0,3.5,9.3,11.4,0.0,21.8,33.8,94,94,0.0,0.0,0.0,.084,-0.2,3.2,3.0,0.0
3372,Dan Roundfield,1979-80,26,ATL,NBA,81,,2588,19.7,.004,.462,12.1,22.7,17.3,11.3,1.9,3.2,16.1,22.8,108,98,4.0,5.1,9.1,.169,1.6,3.0,4.6,4.3
3373,Dan Roundfield,1980-81,27,ATL,NBA,63,,2128,20.7,.001,.439,12.3,22.0,17.1,12.1,1.7,3.3,15.6,22.3,112,103,4.2,2.8,7.0,.159,2.5,2.1,4.6,3.5
3374,Dan Roundfield,1981-82,28,ATL,NBA,61,58,2217,19.5,.005,.412,11.6,25.3,18.4,11.9,1.5,2.6,14.5,24.6,106,100,2.4,4.1,6.5,.141,0.8,2.5,3.3,2.9
3375,Dan Roundfield,1982-83,29,ATL,NBA,77,76,2811,18.8,.023,.377,9.8,23.4,16.6,12.4,1.0,2.3,15.0,24.2,103,100,2.9,4.5,7.4,.127,0.7,1.7,2.4,3.1
3376,Dan Roundfield,1983-84,30,ATL,NBA,73,72,2610,18.9,.011,.468,8.9,22.9,15.8,11.4,1.2,1.7,14.1,24.1,108,105,3.5,3.6,7.1,.131,1.0,1.1,2.1,2.7
3377,Dan Roundfield,1984-85,31,DET,NBA,56,43,1492,13.9,.004,.352,11.7,20.3,15.8,8.4,0.8,2.0,17.4,18.2,105,106,0.9,1.8,2.7,.087,-1.1,1.2,0.1,0.8
3378,Dan Roundfield,1985-86,32,WSB,NBA,79,21,2321,14.7,.009,.548,9.8,20.1,15.0,10.4,0.8,1.2,18.6,18.1,106,105,2.1,3.1,5.1,.106,-0.8,1.0,0.2,1.3
3379,Dan Roundfield,1986-87,33,WSB,NBA,36,0,669,10.6,.023,.327,10.0,17.1,13.5,8.1,0.8,1.3,16.3,18.1,98,108,-0.1,0.7,0.6,.042,-2.9,-0.2,-3.1,-0.2
3380,Scott Roth,1987-88,24,UTA,NBA,26,0,201,10.1,.149,.405,3.9,10.8,7.5,10.8,2.8,0.0,11.2,20.0,100,103,0.0,0.3,0.3,.078,-2.5,0.3,-2.2,0.0
Rk,Player,Season,Age,Tm,Lg,G,GS,MP,PER,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
3381,Scott Roth,1988-89,25,TOT,NBA,63,3,536,7.7,.096,.521,3.9,9.3,6.6,13.5,2.1,0.6,16.3,18.0,92,109,-0.4,0.5,0.1,.005,-4.7,-1.1,-5.7,-0.5
3382,Scott Roth,1989-90,26,MIN,NBA,71,3,1061,11.7,.124,.479,3.6,9.4,6.3,17.4,2.5,0.4,14.3,24.6,98,109,-0.2,1.0,0.7,.034,-2.2,-1.6,-3.8,-0.5
3383,Doug Roth,1989-90,22,WSB,NBA,42,0,412,8.2,.012,.163,11.4,20.1,15.7,5.9,0.9,1.8,14.8,10.7,100,108,0.0,0.4,0.4,.052,-4.0,0.4,-3.7,-0.2
3384,Terrence Ross,2012-13,21,TOR,NBA,73,2,1239,10.4,.429,.092,3.3,10.6,6.9,7.2,1.8,0.9,9.2,19.6,98,109,0.0,0.8,0.9,.034,-1.3,-1.7,-2.9,-0.3
3385,Terrence Ross,2013-14,22,TOR,NBA,81,62,2159,12.0,.543,.130,2.3,11.3,6.8,6.1,1.5,1.0,10.0,18.6,107,107,2.0,2.2,4.2,.094,0.6,-0.7,-0.1,1.0
3386,Terrence Ross,2014-15,23,TOR,NBA,82,61,2092,11.2,.518,.074,1.8,10.7,6.2,6.5,1.3,1.0,8.1,18.3,103,110,1.3,1.0,2.4,.054,0.2,-1.8,-1.6,0.2
3387,Terrence Ross,2015-16,24,TOR,NBA,73,7,1747,12.9,.542,.099,1.4,10.6,6.1,5.3,1.6,1.2,6.6,18.2,110,107,2.1,1.6,3.6,.100,1.1,-1.2,-0.2,0.8
3388,Quinton Ross,2004-05,23,LAC,NBA,78,19,1659,8.9,.011,.295,4.4,10.6,7.6,10.4,1.7,1.0,11.4,13.3,101,108,0.4,1.3,1.7,.050,-2.5,0.4,-2.1,0.0
3389,Quinton Ross,2005-06,24,LAC,NBA,67,45,1515,7.4,.023,.244,3.0,9.7,6.5,7.8,1.8,0.8,12.1,11.8,96,105,-0.2,1.7,1.6,.050,-3.2,1.3,-1.9,0.0
3390,Quinton Ross,2006-07,25,LAC,NBA,81,43,1700,10.5,.026,.230,4.3,9.1,6.7,8.1,2.2,1.5,7.3,12.2,110,106,1.4,1.8,3.2,.090,-1.8,0.9,-0.9,0.5
3391,Quinton Ross,2007-08,26,LAC,NBA,76,44,1505,7.6,.063,.179,4.1,9.1,6.6,9.4,1.5,1.6,7.4,12.0,96,111,-0.3,1.0,0.7,.022,-3.9,0.7,-3.2,-0.5
3392,Quinton Ross,2008-09,27,MEM,NBA,68,7,1164,6.9,.340,.162,3.0,10.4,6.6,6.3,1.5,1.0,11.5,12.6,98,112,-0.1,0.7,0.6,.025,-3.1,-0.5,-3.6,-0.5
3393,Quinton Ross,2009-10,28,TOT,NBA,52,7,562,3.0,.189,.126,3.5,6.6,5.0,3.0,1.2,0.8,8.6,10.4,86,111,-0.4,0.3,-0.1,-.008,-4.8,-0.4,-5.2,-0.5
3394,Quinton Ross,2010-11,29,NJN,NBA,36,4,353,3.7,.051,.237,3.3,6.9,5.0,4.3,0.5,1.3,9.7,9.5,92,114,-0.1,0.1,0.0,-.007,-5.1,-0.7,-5.8,-0.3
3395,Rob Rose,1988-89,24,LAC,NBA,2,0,3,5.0,.000,.000,35.7,35.5,35.6,0.0,0.0,0.0,0.0,13.1,58,108,0.0,0.0,0.0,-.121,-11.4,-9.3,-20.8,0.0
3396,Malik Rose,1996-97,22,CHH,NBA,54,1,525,13.7,.016,.484,16.7,21.0,18.9,9.6,2.9,2.4,20.9,17.6,103,103,0.3,0.8,1.1,.100,-1.5,1.8,0.3,0.3
3397,Malik Rose,1997-98,23,SAS,NBA,53,0,429,10.1,.022,.449,11.5,12.6,12.1,7.5,2.7,1.2,21.3,22.6,90,98,-0.4,0.8,0.4,.044,-4.2,0.9,-3.2,-0.1
3398,Malik Rose,1998-99,24,SAS,NBA,47,0,608,19.7,.005,.726,17.7,16.0,16.8,8.4,3.6,2.5,17.4,24.6,104,90,1.0,1.6,2.6,.204,0.7,2.7,3.4,0.8
3399,Malik Rose,1999-00,25,SAS,NBA,74,3,1341,13.2,.008,.514,11.8,16.4,14.2,5.7,1.4,2.7,17.3,19.7,101,98,0.9,2.4,3.4,.120,-2.0,1.3,-0.6,0.5
3400,Malik Rose,2000-01,26,SAS,NBA,57,9,1219,14.8,.046,.435,9.3,18.8,14.3,6.6,2.6,2.3,14.4,19.8,99,94,0.7,2.6,3.3,.131,-1.7,2.5,0.8,0.9
